Descrição,Código,Estoque Atual,Preço de Venda,Custo Unitário,Custo Total,Preço Total,Quant.Vendas,Valor Pago,Total Vendas
Unidade Salsicha,97,-508,"R$ 2,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 1.016,00",111,"R$ 222,00","R$ 222,00"
Suco de Laranja,98,-6,"R$ 7,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 42,00",,,
Suco de Polpa - Framboesa,99,-1,"R$ 8,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 8,00",,,
Suco de Polpa,100,-25,"R$ 6,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 150,00",,,
Diet,101,-1287,"R$ 10,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 12.870,00",391,"R$ 3.910,00","R$ 3.910,00"
Bis,103,-4,"R$ 6,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 24,00",,,
Fini Unidade,104,-611,"R$ 0,35 ","R$ 0,00 ","R$ 0,00 ","-R$ 213,85",228,"R$ 79,80","R$ 79,80"
Fini Marshmallow Unidade,105,-7,"R$ 0,50 ","R$ 0,00 ","R$ 0,00 ","-R$ 3,50",,,
Diploko,106,-711,"R$ 3,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 2.133,00",60,"R$ 180,00","R$ 180,00"
Trident,107,-779,"R$ 3,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 2.337,00",252,"R$ 739,50","R$ 739,50"
Halls,108,-418,"R$ 2,50 ","R$ 0,00 ","R$ 0,00 ","-R$ 1.045,00",148,"R$ 348,00","R$ 348,00"
Mentos,109,-6,"R$ 2,50 ","R$ 0,00 ","R$ 0,00 ","-R$ 15,00",,,
Pirulito BigBig,110,-1298,"R$ 0,50 ","R$ 0,00 ","R$ 0,00 ","-R$ 649,00",480,"R$ 240,00","R$ 240,00"
Pirulito Blong,111,-415,"R$ 1,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 415,00",137,"R$ 137,00","R$ 137,00"
Ioiô,112,-3,"R$ 4,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 12,00",,,
M&Ms,113,-116,"R$ 4,50 ","R$ 0,00 ","R$ 0,00 ","-R$ 522,00",30,"R$ 135,00","R$ 135,00"
